Date;Machine;Bird ID;Mass Tissue;OB Chamber;Baseline;Oligo;CCCP;AA;Routine;OxPhos;Leak;ETS;FCR1;FCR2;FCR3;Routine/mg;OxPhops/mg;Leak/mg;ETS/mg;AA/mg;Batch 
22.05.23;P2;CS39631;14,13;A;30,9976;20,4341;34,6341;4,3293;26,6683;10,5635;16,1048;30,3048;0,603893012;0,531427365;0,880002508;1,887353149;0,747593772;1,139759377;2,144713376;0,306390658;1
22.05.23;P2;CS39632;13,28;B;22,3824;15,0027;29,1539;4,9468;17,4356;7,3797;10,0559;24,2071;0,57674528;0,415411181;0,720268021;1,312921687;0,555700301;0,757221386;1,822823795;0,3725;1
22.05.23;P1;CS39633;10,52;A;40,6085;24,9366;51,6915;5,2817;35,3268;15,6719;19,6549;46,4098;0,556373631;0,423507535;0,761192679;3,358060837;1,489724335;1,868336502;4,411577947;0,502062738;1
22.05.23;P1;CS39634;11,25;B;33,006;20,5172;47,9276;6,0822;26,9238;12,4888;14,435;41,8454;0,536142744;0,344960258;0,643411223;2,393226667;1,110115556;1,283111111;3,719591111;0,54064;1
22.05.23;P2;CS39627;19,83;A;11,9488;10,3902;10,5634;9,5677;2,3811;1,5586;0,8225;0,9957;0,345428583;0,826052024;2,391382947;0,120075643;0,078598084;0,041477559;0,0502118;0,482486132;1
22.05.23;P2;CS39628;9,72;B;8,0285;7,623;8,1907;7,623;0,4055;0,4055;0;0,5677;0;0;0,714285714;0,041718107;0,041718107;0;0,05840535;0,784259259;1
22.05.23;P1;CS39629;14,29;A;8,572;8,7451;9,0049;8,8317;-0,2597;-0,1731;-0,0866;0,1732;0,333461687;-0,5;-1,499422633;-0,018173548;-0,012113366;-0,006060182;0,012120364;0,61803359;1
22.05.23;P1;CS39630;5,11;B;7,2581;7,7041;7,9474;7,0553;0,2028;-0,446;0,6488;0,8921;3,199211045;0,727272727;0,227328775;0,039686888;-0,087279843;0,126966732;0,174579256;1,380684932;1
22.05.23;P2;CS39635;10,34;A;10,0964;10,137;8,5151;6,9742;3,1222;-0,0406;3,1628;1,5409;1,013003651;2,052566682;2,026218444;0,301953578;-0,003926499;0,305880077;0,149023211;0,674487427;1
22.05.23;P2;CS39636;15,41;B;12,728;12,6415;12,5982;10,0439;2,6841;0,0865;2,5976;2,5543;0,967773183;1,016951807;1,050816271;0,174179104;0,005613238;0,168565866;0,165756003;0,651778066;1
22.05.23;P1;CS39637;7,28;A;12,3817;11,689;11,8189;7,6628;4,7189;0,6927;4,0262;4,1561;0,853207315;0,968744737;1,135415413;0,648200549;0,095151099;0,553049451;0,570892857;1,052582418;1
22.05.23;P1;CS39638;21,28;B;14,354;12,4077;16,3408;11,6778;2,6762;1,9463;0,7299;4,663;0,272737464;0,156530131;0,573922368;0,125761278;0,091461466;0,034299812;0,21912594;0,548768797;1
